state,date,sex,ethnicity,abs
Kelantan,2003-01-01,both,overall,35686.0
Kelantan,2004-01-01,both,overall,35113.0
Kelantan,2005-01-01,both,overall,34088.0
Kelantan,2006-01-01,both,overall,33659.0
Kelantan,2007-01-01,both,overall,33800.0
Kelantan,2008-01-01,both,overall,34842.0
Kelantan,2009-01-01,both,overall,35715.0
Kelantan,2010-01-01,both,overall,36009.0
Kelantan,2011-01-01,both,overall,37679.0
Kelantan,2012-01-01,both,overall,37025.0
Kelantan,2013-01-01,both,overall,36413.0
Kelantan,2014-01-01,both,overall,39279.0
Kelantan,2015-01-01,both,overall,39108.0
Kelantan,2016-01-01,both,overall,38455.0
Kelantan,2017-01-01,both,overall,39122.0
Kelantan,2018-01-01,both,overall,38360.0
Kelantan,2019-01-01,both,overall,36858.0
Kelantan,2020-01-01,both,overall,36275.0
Kelantan,2021-01-01,both,overall,34764.0
Kelantan,2022-01-01,both,overall,33808.0
Kelantan,2023-01-01,both,overall,35705.0
Melaka,2000-01-01,both,overall,15304.0
Melaka,2001-01-01,both,overall,14317.0
Melaka,2002-01-01,both,overall,13810.0
Melaka,2003-01-01,both,overall,13898.0
Melaka,2004-01-01,both,overall,13548.0
Melaka,2005-01-01,both,overall,13341.0
Melaka,2006-01-01,both,overall,12946.0
Melaka,2007-01-01,both,overall,13444.0
Melaka,2008-01-01,both,overall,13619.0
Melaka,2009-01-01,both,overall,13456.0
Melaka,2010-01-01,both,overall,13010.0
Melaka,2011-01-01,both,overall,13976.0
Melaka,2012-01-01,both,overall,14278.0
Melaka,2013-01-01,both,overall,13692.0
Melaka,2014-01-01,both,overall,14568.0
Melaka,2015-01-01,both,overall,14554.0
Melaka,2016-01-01,both,overall,14402.0
Melaka,2017-01-01,both,overall,14389.0
Melaka,2018-01-01,both,overall,14388.0
Melaka,2019-01-01,both,overall,14136.0
Melaka,2020-01-01,both,overall,13855.0
Melaka,2021-01-01,both,overall,13192.0
Melaka,2022-01-01,both,overall,13105.0
Melaka,2023-01-01,both,overall,13583.0
Negeri Sembilan,2000-01-01,both,overall,19243.0
Negeri Sembilan,2001-01-01,both,overall,17670.0
Negeri Sembilan,2002-01-01,both,overall,17647.0
Negeri Sembilan,2003-01-01,both,overall,17272.0
Negeri Sembilan,2004-01-01,both,overall,17085.0
Negeri Sembilan,2005-01-01,both,overall,16838.0
Negeri Sembilan,2006-01-01,both,overall,16622.0
Negeri Sembilan,2007-01-01,both,overall,17195.0
Negeri Sembilan,2008-01-01,both,overall,17351.0
Negeri Sembilan,2009-01-01,both,overall,17360.0
Negeri Sembilan,2010-01-01,both,overall,16939.0
Negeri Sembilan,2011-01-01,both,overall,17670.0
Negeri Sembilan,2012-01-01,both,overall,17903.0
Negeri Sembilan,2013-01-01,both,overall,17509.0
Negeri Sembilan,2014-01-01,both,overall,18676.0
Negeri Sembilan,2015-01-01,both,overall,18423.0
Negeri Sembilan,2016-01-01,both,overall,18036.0
Negeri Sembilan,2017-01-01,both,overall,18078.0
Negeri Sembilan,2018-01-01,both,overall,18177.0
Negeri Sembilan,2019-01-01,both,overall,17464.0
Negeri Sembilan,2020-01-01,both,overall,17120.0
Negeri Sembilan,2021-01-01,both,overall,16777.0
Negeri Sembilan,2022-01-01,both,overall,15991.0
Negeri Sembilan,2023-01-01,both,overall,16570.0
Pahang,2000-01-01,both,overall,29555.0
Pahang,2001-01-01,both,overall,27613.0
Pahang,2002-01-01,both,overall,26810.0
Pahang,2003-01-01,both,overall,26144.0
Pahang,2004-01-01,both,overall,25899.0
Pahang,2005-01-01,both,overall,25692.0
Pahang,2006-01-01,both,overall,24809.0
Pahang,2007-01-01,both,overall,24958.0
Pahang,2008-01-01,both,overall,25658.0
Pahang,2009-01-01,both,overall,26057.0
Pahang,2010-01-01,both,overall,25946.0
Pahang,2011-01-01,both,overall,27079.0
Pahang,2012-01-01,both,overall,27411.0
Pahang,2013-01-01,both,overall,26968.0
Pahang,2014-01-01,both,overall,28743.0
Pahang,2015-01-01,both,overall,28059.0
Pahang,2016-01-01,both,overall,27626.0
Pahang,2017-01-01,both,overall,27555.0
Pahang,2018-01-01,both,overall,27006.0
Pahang,2019-01-01,both,overall,25887.0
Pahang,2020-01-01,both,overall,25344.0
Pahang,2021-01-01,both,overall,24507.0
Pahang,2022-01-01,both,overall,23568.0
Pahang,2023-01-01,both,overall,24162.0
Perak,2000-01-01,both,overall,48589.0
Perak,2001-01-01,both,overall,43533.0
Perak,2002-01-01,both,overall,42289.0
Perak,2003-01-01,both,overall,39822.0
Perak,2004-01-01,both,overall,39012.0
Perak,2005-01-01,both,overall,37369.0
Perak,2006-01-01,both,overall,36835.0
Perak,2007-01-01,both,overall,36628.0
Perak,2008-01-01,both,overall,37174.0
Perak,2009-01-01,both,overall,37203.0
Perak,2010-01-01,both,overall,36026.0
Perak,2011-01-01,both,overall,37522.0
Perak,2012-01-01,both,overall,37712.0
Perak,2013-01-01,both,overall,35427.0
Perak,2014-01-01,both,overall,36586.0
Perak,2015-01-01,both,overall,36284.0
Perak,2016-01-01,both,overall,35685.0
Perak,2017-01-01,both,overall,34838.0
Perak,2018-01-01,both,overall,33869.0
Perak,2019-01-01,both,overall,33005.0
Perak,2020-01-01,both,overall,31582.0
Perak,2021-01-01,both,overall,30816.0
Perak,2022-01-01,both,overall,29543.0
Perak,2023-01-01,both,overall,30759.0
Perlis,2000-01-01,both,overall,4651.0
Perlis,2001-01-01,both,overall,4340.0
Perlis,2002-01-01,both,overall,4225.0
Perlis,2003-01-01,both,overall,4058.0
Perlis,2004-01-01,both,overall,3964.0
Perlis,2005-01-01,both,overall,3932.0
Perlis,2006-01-01,both,overall,3891.0
Perlis,2007-01-01,both,overall,3946.0
Perlis,2008-01-01,both,overall,4175.0
Perlis,2009-01-01,both,overall,4237.0
Perlis,2010-01-01,both,overall,4114.0
Perlis,2011-01-01,both,overall,4161.0
Perlis,2012-01-01,both,overall,4143.0
Perlis,2013-01-01,both,overall,4050.0
Perlis,2014-01-01,both,overall,4509.0
Perlis,2015-01-01,both,overall,4315.0
Perlis,2016-01-01,both,overall,4392.0
Perlis,2017-01-01,both,overall,4447.0
Perlis,2018-01-01,both,overall,4371.0
Perlis,2019-01-01,both,overall,4060.0
Perlis,2020-01-01,both,overall,4101.0
Perlis,2021-01-01,both,overall,4076.0
Perlis,2022-01-01,both,overall,3746.0
Perlis,2023-01-01,both,overall,3878.0
Pulau Pinang,2000-01-01,both,overall,27337.0
Pulau Pinang,2001-01-01,both,overall,24712.0
Pulau Pinang,2002-01-01,both,overall,24775.0
Pulau Pinang,2003-01-01,both,overall,23467.0
Pulau Pinang,2004-01-01,both,overall,22943.0
Pulau Pinang,2005-01-01,both,overall,22559.0
Pulau Pinang,2006-01-01,both,overall,22003.0
Pulau Pinang,2007-01-01,both,overall,22429.0
Pulau Pinang,2008-01-01,both,overall,22952.0
Pulau Pinang,2009-01-01,both,overall,22777.0
Pulau Pinang,2010-01-01,both,overall,21172.0
Pulau Pinang,2011-01-01,both,overall,22353.0
Pulau Pinang,2012-01-01,both,overall,23794.0
Pulau Pinang,2013-01-01,both,overall,21499.0
Pulau Pinang,2014-01-01,both,overall,22877.0
Pulau Pinang,2015-01-01,both,overall,22242.0
Pulau Pinang,2016-01-01,both,overall,21781.0
Pulau Pinang,2017-01-01,both,overall,21464.0
Pulau Pinang,2018-01-01,both,overall,20705.0
Pulau Pinang,2019-01-01,both,overall,20200.0
Pulau Pinang,2020-01-01,both,overall,19645.0
Pulau Pinang,2021-01-01,both,overall,18571.0
Pulau Pinang,2022-01-01,both,overall,17731.0
Pulau Pinang,2023-01-01,both,overall,19579.0
Sabah,2000-01-01,both,overall,49308.0
Sabah,2001-01-01,both,overall,48990.0
Sabah,2002-01-01,both,overall,46119.0
Sabah,2003-01-01,both,overall,44388.0
Sabah,2004-01-01,both,overall,46170.0
Sabah,2005-01-01,both,overall,47160.0
Sabah,2006-01-01,both,overall,46142.0
Sabah,2007-01-01,both,overall,47017.0
Sabah,2008-01-01,both,overall,50272.0
Sabah,2009-01-01,both,overall,52782.0
Sabah,2010-01-01,both,overall,54134.0
Sabah,2011-01-01,both,overall,54990.0
Sabah,2012-01-01,both,overall,58185.0
Sabah,2013-01-01,both,overall,56823.0
Sabah,2014-01-01,both,overall,57397.0
Sabah,2015-01-01,both,overall,54699.0
Sabah,2016-01-01,both,overall,52071.0
Sabah,2017-01-01,both,overall,52528.0
Sabah,2018-01-01,both,overall,53025.0
Sabah,2019-01-01,both,overall,52973.0
Sabah,2020-01-01,both,overall,49587.0
Sabah,2021-01-01,both,overall,41608.0
Sabah,2022-01-01,both,overall,43617.0
Sabah,2023-01-01,both,overall,46412.0
Sarawak,2000-01-01,both,overall,47920.0
Sarawak,2001-01-01,both,overall,46098.0
Sarawak,2002-01-01,both,overall,44929.0
Sarawak,2003-01-01,both,overall,44068.0
Sarawak,2004-01-01,both,overall,43545.0
Sarawak,2005-01-01,both,overall,43241.0
Sarawak,2006-01-01,both,overall,42892.0
Sarawak,2007-01-01,both,overall,42549.0
Sarawak,2008-01-01,both,overall,43426.0
Sarawak,2009-01-01,both,overall,43753.0
Sarawak,2010-01-01,both,overall,41474.0
Sarawak,2011-01-01,both,overall,43383.0
Sarawak,2012-01-01,both,overall,43178.0
Sarawak,2013-01-01,both,overall,40413.0
Sarawak,2014-01-01,both,overall,41049.0
Sarawak,2015-01-01,both,overall,39754.0
Sarawak,2016-01-01,both,overall,37985.0
Sarawak,2017-01-01,both,overall,37654.0
Sarawak,2018-01-01,both,overall,36624.0
Sarawak,2019-01-01,both,overall,36672.0
Sarawak,2020-01-01,both,overall,35449.0
Sarawak,2021-01-01,both,overall,31274.0
Sarawak,2022-01-01,both,overall,30937.0
Sarawak,2023-01-01,both,overall,33920.0
Selangor,2000-01-01,both,overall,91635.0
Selangor,2001-01-01,both,overall,87758.0
Selangor,2002-01-01,both,overall,89735.0
Selangor,2003-01-01,both,overall,89933.0
Selangor,2004-01-01,both,overall,93176.0
Selangor,2005-01-01,both,overall,92456.0
Selangor,2006-01-01,both,overall,94737.0
Selangor,2007-01-01,both,overall,97055.0
Selangor,2008-01-01,both,overall,100284.0
Selangor,2009-01-01,both,overall,103023.0
Selangor,2010-01-01,both,overall,98429.0
Selangor,2011-01-01,both,overall,103686.0
Selangor,2012-01-01,both,overall,107946.0
Selangor,2013-01-01,both,overall,103173.0
Selangor,2014-01-01,both,overall,108932.0
Selangor,2015-01-01,both,overall,108131.0
Selangor,2016-01-01,both,overall,104661.0
Selangor,2017-01-01,both,overall,103987.0
Selangor,2018-01-01,both,overall,102125.0
Selangor,2019-01-01,both,overall,98836.0
Selangor,2020-01-01,both,overall,93577.0
Selangor,2021-01-01,both,overall,90118.0
Selangor,2022-01-01,both,overall,83658.0
Selangor,2023-01-01,both,overall,90535.0
Terengganu,2000-01-01,both,overall,24833.0
Terengganu,2001-01-01,both,overall,24060.0
Terengganu,2002-01-01,both,overall,23205.0
Terengganu,2003-01-01,both,overall,22269.0
Terengganu,2004-01-01,both,overall,22542.0
Terengganu,2005-01-01,both,overall,21966.0
Terengganu,2006-01-01,both,overall,21907.0
Terengganu,2007-01-01,both,overall,22366.0
Terengganu,2008-01-01,both,overall,23339.0
Terengganu,2009-01-01,both,overall,23887.0
Terengganu,2010-01-01,both,overall,24262.0
Terengganu,2011-01-01,both,overall,24776.0
Terengganu,2012-01-01,both,overall,25698.0
Terengganu,2013-01-01,both,overall,25465.0
Terengganu,2014-01-01,both,overall,27013.0
Terengganu,2015-01-01,both,overall,27629.0
Terengganu,2016-01-01,both,overall,27521.0
Terengganu,2017-01-01,both,overall,27911.0
Terengganu,2018-01-01,both,overall,28242.0
Terengganu,2019-01-01,both,overall,27085.0
Terengganu,2020-01-01,both,overall,27177.0
Terengganu,2021-01-01,both,overall,26337.0
Terengganu,2022-01-01,both,overall,25304.0
Terengganu,2023-01-01,both,overall,26127.0
W.P. Kuala Lumpur,2000-01-01,both,overall,29382.0
W.P. Kuala Lumpur,2001-01-01,both,overall,27211.0
W.P. Kuala Lumpur,2002-01-01,both,overall,25928.0
W.P. Kuala Lumpur,2003-01-01,both,overall,25173.0
W.P. Kuala Lumpur,2004-01-01,both,overall,24892.0
W.P. Kuala Lumpur,2005-01-01,both,overall,23544.0
W.P. Kuala Lumpur,2006-01-01,both,overall,24067.0
W.P. Kuala Lumpur,2007-01-01,both,overall,24936.0
W.P. Kuala Lumpur,2008-01-01,both,overall,25178.0
W.P. Kuala Lumpur,2009-01-01,both,overall,25870.0
W.P. Kuala Lumpur,2010-01-01,both,overall,24471.0
W.P. Kuala Lumpur,2011-01-01,both,overall,25525.0
W.P. Kuala Lumpur,2012-01-01,both,overall,26982.0
W.P. Kuala Lumpur,2013-01-01,both,overall,25333.0
W.P. Kuala Lumpur,2014-01-01,both,overall,27100.0
W.P. Kuala Lumpur,2015-01-01,both,overall,25789.0
W.P. Kuala Lumpur,2016-01-01,both,overall,25739.0
W.P. Kuala Lumpur,2017-01-01,both,overall,24732.0
W.P. Kuala Lumpur,2018-01-01,both,overall,24235.0
W.P. Kuala Lumpur,2019-01-01,both,overall,23921.0
W.P. Kuala Lumpur,2020-01-01,both,overall,23199.0
W.P. Kuala Lumpur,2021-01-01,both,overall,21046.0
W.P. Kuala Lumpur,2022-01-01,both,overall,19853.0
W.P. Kuala Lumpur,2023-01-01,both,overall,21442.0
W.P. Labuan,2000-01-01,both,overall,1495.0
W.P. Labuan,2001-01-01,both,overall,1486.0
W.P. Labuan,2002-01-01,both,overall,1466.0
W.P. Labuan,2003-01-01,both,overall,1584.0
W.P. Labuan,2004-01-01,both,overall,1513.0
W.P. Labuan,2005-01-01,both,overall,1509.0
W.P. Labuan,2006-01-01,both,overall,1587.0
W.P. Labuan,2007-01-01,both,overall,1581.0
W.P. Labuan,2008-01-01,both,overall,1680.0
W.P. Labuan,2009-01-01,both,overall,1656.0
W.P. Labuan,2010-01-01,both,overall,1631.0
W.P. Labuan,2011-01-01,both,overall,1734.0
W.P. Labuan,2012-01-01,both,overall,1773.0
W.P. Labuan,2013-01-01,both,overall,1743.0
W.P. Labuan,2014-01-01,both,overall,1871.0
W.P. Labuan,2015-01-01,both,overall,1953.0
W.P. Labuan,2016-01-01,both,overall,1752.0
W.P. Labuan,2017-01-01,both,overall,1685.0
W.P. Labuan,2018-01-01,both,overall,1691.0
W.P. Labuan,2019-01-01,both,overall,1678.0
W.P. Labuan,2020-01-01,both,overall,1714.0
W.P. Labuan,2021-01-01,both,overall,1522.0
W.P. Labuan,2022-01-01,both,overall,1374.0
W.P. Labuan,2023-01-01,both,overall,1409.0
W.P. Putrajaya,2010-01-01,both,overall,2430.0
W.P. Putrajaya,2011-01-01,both,overall,2956.0
W.P. Putrajaya,2012-01-01,both,overall,3150.0
W.P. Putrajaya,2013-01-01,both,overall,2972.0
W.P. Putrajaya,2014-01-01,both,overall,3064.0
W.P. Putrajaya,2015-01-01,both,overall,2869.0
W.P. Putrajaya,2016-01-01,both,overall,2569.0
W.P. Putrajaya,2017-01-01,both,overall,2517.0
W.P. Putrajaya,2018-01-01,both,overall,2400.0
W.P. Putrajaya,2019-01-01,both,overall,2316.0
W.P. Putrajaya,2020-01-01,both,overall,2143.0
W.P. Putrajaya,2021-01-01,both,overall,2106.0
W.P. Putrajaya,2022-01-01,both,overall,1839.0
W.P. Putrajaya,2023-01-01,both,overall,1713.0
Johor,2000-01-01,male,overall,34726.0
Johor,2001-01-01,male,overall,31857.0
Johor,2002-01-01,male,overall,30922.0
Johor,2003-01-01,male,overall,30223.0
Johor,2004-01-01,male,overall,29518.0
Johor,2005-01-01,male,overall,29081.0
Johor,2006-01-01,male,overall,29661.0
Johor,2007-01-01,male,overall,29815.0
Johor,2008-01-01,male,overall,29897.0
Johor,2009-01-01,male,overall,30068.0
Johor,2010-01-01,male,overall,28989.0
Johor,2011-01-01,male,overall,29962.0
Johor,2012-01-01,male,overall,31214.0
Johor,2013-01-01,male,overall,29672.0
Johor,2014-01-01,male,overall,31420.0
Johor,2015-01-01,male,overall,31307.0
Johor,2016-01-01,male,overall,30754.0
Johor,2017-01-01,male,overall,31648.0
Johor,2018-01-01,male,overall,31656.0
Johor,2019-01-01,male,overall,31073.0
Johor,2020-01-01,male,overall,29379.0
Johor,2021-01-01,male,overall,25708.0
Johor,2022-01-01,male,overall,24765.0
Johor,2000-01-01,female,overall,32457.0
Johor,2001-01-01,female,overall,29575.0
Johor,2002-01-01,female,overall,28777.0
Johor,2003-01-01,female,overall,28007.0
Johor,2004-01-01,female,overall,27821.0
Johor,2005-01-01,female,overall,27443.0
Johor,2006-01-01,female,overall,27076.0
Johor,2007-01-01,female,overall,27965.0
Johor,2008-01-01,female,overall,27941.0
Johor,2009-01-01,female,overall,27781.0
Johor,2010-01-01,female,overall,27075.0
Johor,2011-01-01,female,overall,28205.0
Johor,2012-01-01,female,overall,29230.0
Johor,2013-01-01,female,overall,27730.0
Johor,2014-01-01,female,overall,29023.0
Johor,2015-01-01,female,overall,29236.0
Johor,2016-01-01,female,overall,28807.0
Johor,2017-01-01,female,overall,29437.0
Johor,2018-01-01,female,overall,29428.0
Johor,2019-01-01,female,overall,29188.0
Johor,2020-01-01,female,overall,27529.0
Johor,2021-01-01,female,overall,24282.0
Johor,2022-01-01,female,overall,23489.0
Johor,2023-01-01,male,overall,29075.0
Johor,2023-01-01,female,overall,27081.0
Kedah,2000-01-01,male,overall,21038.0
Kedah,2001-01-01,male,overall,19754.0
Kedah,2002-01-01,male,overall,18825.0
Kedah,2003-01-01,male,overall,18285.0
Kedah,2004-01-01,male,overall,17872.0
Kedah,2005-01-01,male,overall,17587.0
Kedah,2006-01-01,male,overall,17467.0
Kedah,2007-01-01,male,overall,17461.0
Kedah,2008-01-01,male,overall,18182.0
Kedah,2009-01-01,male,overall,18499.0
Kedah,2010-01-01,male,overall,18203.0
Kedah,2011-01-01,male,overall,18480.0
Kedah,2012-01-01,male,overall,18937.0
Kedah,2013-01-01,male,overall,18049.0
Kedah,2014-01-01,male,overall,18936.0
Kedah,2015-01-01,male,overall,18832.0
Kedah,2016-01-01,male,overall,18457.0
Kedah,2017-01-01,male,overall,18991.0
Kedah,2018-01-01,male,overall,18462.0
Kedah,2019-01-01,male,overall,17828.0
Kedah,2020-01-01,male,overall,17516.0
Kedah,2021-01-01,male,overall,17032.0
Kedah,2022-01-01,male,overall,15784.0
Kedah,2000-01-01,female,overall,19976.0
Kedah,2001-01-01,female,overall,18319.0
Kedah,2002-01-01,female,overall,17779.0
Kedah,2003-01-01,female,overall,17122.0
Kedah,2004-01-01,female,overall,17187.0
Kedah,2005-01-01,female,overall,16667.0
Kedah,2006-01-01,female,overall,16397.0
Kedah,2007-01-01,female,overall,16502.0
Kedah,2008-01-01,female,overall,17233.0
Kedah,2009-01-01,female,overall,17520.0
Kedah,2010-01-01,female,overall,16925.0
Kedah,2011-01-01,female,overall,17457.0
Kedah,2012-01-01,female,overall,17453.0
Kedah,2013-01-01,female,overall,16983.0
Kedah,2014-01-01,female,overall,17569.0
Kedah,2015-01-01,female,overall,17952.0
Kedah,2016-01-01,female,overall,17510.0
Kedah,2017-01-01,female,overall,17702.0
Kedah,2018-01-01,female,overall,17181.0
Kedah,2019-01-01,female,overall,16683.0
Kedah,2020-01-01,female,overall,16312.0
Kedah,2021-01-01,female,overall,16008.0
Kedah,2022-01-01,female,overall,15012.0
Kedah,2023-01-01,male,overall,17574.0
Kedah,2023-01-01,female,overall,16237.0
Kelantan,2000-01-01,male,overall,20749.0
Kelantan,2001-01-01,male,overall,19696.0
Kelantan,2002-01-01,male,overall,19221.0
Kelantan,2003-01-01,male,overall,18396.0
Kelantan,2004-01-01,male,overall,17946.0
Kelantan,2005-01-01,male,overall,17584.0
Kelantan,2006-01-01,male,overall,17374.0
Kelantan,2007-01-01,male,overall,17393.0
Kelantan,2008-01-01,male,overall,18032.0
Kelantan,2009-01-01,male,overall,18337.0
Kelantan,2010-01-01,male,overall,18586.0
Kelantan,2011-01-01,male,overall,19412.0
Kelantan,2012-01-01,male,overall,19328.0
Kelantan,2013-01-01,male,overall,18853.0
Kelantan,2014-01-01,male,overall,20227.0
Kelantan,2015-01-01,male,overall,19984.0
Kelantan,2016-01-01,male,overall,19821.0
Kelantan,2017-01-01,male,overall,20084.0
Kelantan,2018-01-01,male,overall,19984.0
Kelantan,2019-01-01,male,overall,19124.0
Kelantan,2020-01-01,male,overall,18739.0
Kelantan,2021-01-01,male,overall,17868.0
Kelantan,2022-01-01,male,overall,17464.0
Kelantan,2000-01-01,female,overall,19655.0
Kelantan,2001-01-01,female,overall,18490.0
Kelantan,2002-01-01,female,overall,18076.0
Kelantan,2003-01-01,female,overall,17290.0
Kelantan,2004-01-01,female,overall,17167.0
Kelantan,2005-01-01,female,overall,16504.0
Kelantan,2006-01-01,female,overall,16285.0
Kelantan,2007-01-01,female,overall,16407.0
Kelantan,2008-01-01,female,overall,16810.0
Kelantan,2009-01-01,female,overall,17378.0
Kelantan,2010-01-01,female,overall,17423.0
Kelantan,2011-01-01,female,overall,18267.0
Kelantan,2012-01-01,female,overall,17697.0
Kelantan,2013-01-01,female,overall,17560.0
Kelantan,2014-01-01,female,overall,19052.0
Kelantan,2015-01-01,female,overall,19124.0
Kelantan,2016-01-01,female,overall,18634.0
Kelantan,2017-01-01,female,overall,19038.0
Kelantan,2018-01-01,female,overall,18376.0
Kelantan,2019-01-01,female,overall,17734.0
Kelantan,2020-01-01,female,overall,17536.0
Kelantan,2021-01-01,female,overall,16896.0
Kelantan,2022-01-01,female,overall,16344.0
Kelantan,2023-01-01,male,overall,18482.0
Kelantan,2023-01-01,female,overall,17223.0
Melaka,2000-01-01,male,overall,7893.0
Melaka,2001-01-01,male,overall,7437.0
Melaka,2002-01-01,male,overall,7027.0
Melaka,2003-01-01,male,overall,7287.0
Melaka,2004-01-01,male,overall,6930.0
Melaka,2005-01-01,male,overall,6905.0
Melaka,2006-01-01,male,overall,6585.0
Melaka,2007-01-01,male,overall,6943.0
Melaka,2008-01-01,male,overall,6897.0
Melaka,2009-01-01,male,overall,6913.0
Melaka,2010-01-01,male,overall,6799.0
Melaka,2011-01-01,male,overall,7290.0
Melaka,2012-01-01,male,overall,7233.0
Melaka,2013-01-01,male,overall,7102.0
Melaka,2014-01-01,male,overall,7592.0
Melaka,2015-01-01,male,overall,7460.0
Melaka,2016-01-01,male,overall,7511.0
Melaka,2017-01-01,male,overall,7454.0
Melaka,2018-01-01,male,overall,7379.0
Melaka,2019-01-01,male,overall,7408.0
Melaka,2020-01-01,male,overall,7139.0
Melaka,2021-01-01,male,overall,6812.0
Melaka,2022-01-01,male,overall,6745.0
Melaka,2000-01-01,female,overall,7411.0
Melaka,2001-01-01,female,overall,6880.0
Melaka,2002-01-01,female,overall,6783.0
Melaka,2003-01-01,female,overall,6611.0
Melaka,2004-01-01,female,overall,6618.0
Melaka,2005-01-01,female,overall,6436.0
Melaka,2006-01-01,female,overall,6361.0
Melaka,2007-01-01,female,overall,6501.0
Melaka,2008-01-01,female,overall,6722.0
Melaka,2009-01-01,female,overall,6543.0
Melaka,2010-01-01,female,overall,6211.0
Melaka,2011-01-01,female,overall,6686.0
Melaka,2012-01-01,female,overall,7045.0
Melaka,2013-01-01,female,overall,6590.0
Melaka,2014-01-01,female,overall,6976.0
Melaka,2015-01-01,female,overall,7094.0
Melaka,2016-01-01,female,overall,6891.0
Melaka,2017-01-01,female,overall,6935.0
Melaka,2018-01-01,female,overall,7009.0
Melaka,2019-01-01,female,overall,6728.0
Melaka,2020-01-01,female,overall,6716.0
Melaka,2021-01-01,female,overall,6380.0
Melaka,2022-01-01,female,overall,6360.0
Melaka,2023-01-01,male,overall,6971.0
Melaka,2023-01-01,female,overall,6612.0
Negeri Sembilan,2000-01-01,male,overall,9940.0
Negeri Sembilan,2001-01-01,male,overall,9073.0
Negeri Sembilan,2002-01-01,male,overall,9149.0
Negeri Sembilan,2003-01-01,male,overall,8810.0
Negeri Sembilan,2004-01-01,male,overall,8878.0
Negeri Sembilan,2005-01-01,male,overall,8708.0
Negeri Sembilan,2006-01-01,male,overall,8577.0
Negeri Sembilan,2007-01-01,male,overall,8890.0
Negeri Sembilan,2008-01-01,male,overall,8869.0
Negeri Sembilan,2009-01-01,male,overall,8960.0
Negeri Sembilan,2010-01-01,male,overall,8654.0
Negeri Sembilan,2011-01-01,male,overall,9202.0
Negeri Sembilan,2012-01-01,male,overall,9219.0
Negeri Sembilan,2013-01-01,male,overall,9126.0
Negeri Sembilan,2014-01-01,male,overall,9665.0
Negeri Sembilan,2015-01-01,male,overall,9605.0
Negeri Sembilan,2016-01-01,male,overall,9345.0
Negeri Sembilan,2017-01-01,male,overall,9390.0
Negeri Sembilan,2018-01-01,male,overall,9328.0
Negeri Sembilan,2019-01-01,male,overall,9061.0
Negeri Sembilan,2020-01-01,male,overall,8880.0
Negeri Sembilan,2021-01-01,male,overall,8723.0
Negeri Sembilan,2022-01-01,male,overall,8406.0
Negeri Sembilan,2000-01-01,female,overall,9303.0
Negeri Sembilan,2001-01-01,female,overall,8597.0
Negeri Sembilan,2002-01-01,female,overall,8498.0
Negeri Sembilan,2003-01-01,female,overall,8462.0
Negeri Sembilan,2004-01-01,female,overall,8207.0
Negeri Sembilan,2005-01-01,female,overall,8130.0
Negeri Sembilan,2006-01-01,female,overall,8045.0
Negeri Sembilan,2007-01-01,female,overall,8305.0
Negeri Sembilan,2008-01-01,female,overall,8482.0
